family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
chain,chain_1,1,0,0.0,496,0,compile,227459,0
chain,chain_1,1,0,0.0,496,0,urdf,11261,522
chain,chain_1,1,0,0.0,496,0,sdf,8315,778
chain,chain_1,1,0,0.0,496,0,gazebo,81754,2057
chain,chain_1,1,0,0.0,496,0,mjcf,6493,356
chain,chain_1,1,0,0.0,496,0,dot,1232,182
chain,chain_1,1,0,0.0,496,0,mermaid,1613,277
chain,chain_1,1,0,0.0,496,1,compile,230014,0
chain,chain_1,1,0,0.0,496,1,urdf,11372,522
chain,chain_1,1,0,0.0,496,1,sdf,7404,778
chain,chain_1,1,0,0.0,496,1,gazebo,71134,2057
chain,chain_1,1,0,0.0,496,1,mjcf,4429,356
chain,chain_1,1,0,0.0,496,1,dot,961,182
chain,chain_1,1,0,0.0,496,1,mermaid,932,277
chain,chain_1,1,0,0.0,496,2,compile,231767,0
chain,chain_1,1,0,0.0,496,2,urdf,10700,522
chain,chain_1,1,0,0.0,496,2,sdf,7274,778
chain,chain_1,1,0,0.0,496,2,gazebo,67748,2057
chain,chain_1,1,0,0.0,496,2,mjcf,2575,356
chain,chain_1,1,0,0.0,496,2,dot,891,182
chain,chain_1,1,0,0.0,496,2,mermaid,902,277
chain,chain_1,1,0,0.0,496,3,compile,228992,0
chain,chain_1,1,0,0.0,496,3,urdf,10580,522
chain,chain_1,1,0,0.0,496,3,sdf,7314,778
chain,chain_1,1,0,0.0,496,3,gazebo,63290,2057
chain,chain_1,1,0,0.0,496,3,mjcf,2555,356
chain,chain_1,1,0,0.0,496,3,dot,831,182
chain,chain_1,1,0,0.0,496,3,mermaid,952,277
chain,chain_1,1,0,0.0,496,4,compile,227910,0
chain,chain_1,1,0,0.0,496,4,urdf,10509,522
chain,chain_1,1,0,0.0,496,4,sdf,7224,778
chain,chain_1,1,0,0.0,496,4,gazebo,69732,2057
chain,chain_1,1,0,0.0,496,4,mjcf,2625,356
chain,chain_1,1,0,0.0,496,4,dot,901,182
chain,chain_1,1,0,0.0,496,4,mermaid,972,277
chain,chain_1,1,0,0.0,496,5,compile,228141,0
chain,chain_1,1,0,0.0,496,5,urdf,10300,522
chain,chain_1,1,0,0.0,496,5,sdf,7254,778
chain,chain_1,1,0,0.0,496,5,gazebo,62738,2057
chain,chain_1,1,0,0.0,496,5,mjcf,2344,356
chain,chain_1,1,0,0.0,496,5,dot,862,182
chain,chain_1,1,0,0.0,496,5,mermaid,972,277
chain,chain_1,1,0,0.0,496,6,compile,231366,0
chain,chain_1,1,0,0.0,496,6,urdf,10389,522
chain,chain_1,1,0,0.0,496,6,sdf,7084,778
chain,chain_1,1,0,0.0,496,6,gazebo,66586,2057
chain,chain_1,1,0,0.0,496,6,mjcf,2324,356
chain,chain_1,1,0,0.0,496,6,dot,741,182
chain,chain_1,1,0,0.0,496,6,mermaid,932,277
chain,chain_1,1,0,0.0,496,7,compile,231807,0
chain,chain_1,1,0,0.0,496,7,urdf,10630,522
chain,chain_1,1,0,0.0,496,7,sdf,7154,778
chain,chain_1,1,0,0.0,496,7,gazebo,79260,2057
chain,chain_1,1,0,0.0,496,7,mjcf,2354,356
chain,chain_1,1,0,0.0,496,7,dot,772,182
chain,chain_1,1,0,0.0,496,7,mermaid,982,277
chain,chain_1,1,0,0.0,496,8,compile,235664,0
chain,chain_1,1,0,0.0,496,8,urdf,10650,522
chain,chain_1,1,0,0.0,496,8,sdf,7294,778
chain,chain_1,1,0,0.0,496,8,gazebo,68098,2057
chain,chain_1,1,0,0.0,496,8,mjcf,2715,356
chain,chain_1,1,0,0.0,496,8,dot,771,182
chain,chain_1,1,0,0.0,496,8,mermaid,962,277
chain,chain_1,1,0,0.0,496,9,compile,234472,0
chain,chain_1,1,0,0.0,496,9,urdf,10620,522
chain,chain_1,1,0,0.0,496,9,sdf,7144,778
chain,chain_1,1,0,0.0,496,9,gazebo,67978,2057
chain,chain_1,1,0,0.0,496,9,mjcf,2334,356
chain,chain_1,1,0,0.0,496,9,dot,791,182
chain,chain_1,1,0,0.0,496,9,mermaid,992,277
chain,chain_2,2,1,2.0,987,0,compile,265010,0
chain,chain_2,2,1,2.0,987,0,urdf,16862,1194
chain,chain_2,2,1,2.0,987,0,sdf,11762,1778
chain,chain_2,2,1,2.0,987,0,gazebo,73870,3002
chain,chain_2,2,1,2.0,987,0,mjcf,7855,668
chain,chain_2,2,1,2.0,987,0,dot,1643,257
chain,chain_2,2,1,2.0,987,0,mermaid,2985,346
chain,chain_2,2,1,2.0,987,1,compile,260722,0
chain,chain_2,2,1,2.0,987,1,urdf,16862,1194
chain,chain_2,2,1,2.0,987,1,sdf,11421,1778
chain,chain_2,2,1,2.0,987,1,gazebo,70633,3002
chain,chain_2,2,1,2.0,987,1,mjcf,7084,668
chain,chain_2,2,1,2.0,987,1,dot,1553,257
chain,chain_2,2,1,2.0,987,1,mermaid,2515,346
chain,chain_2,2,1,2.0,987,2,compile,260452,0
chain,chain_2,2,1,2.0,987,2,urdf,36007,1194
chain,chain_2,2,1,2.0,987,2,sdf,11502,1778
chain,chain_2,2,1,2.0,987,2,gazebo,75732,3002
chain,chain_2,2,1,2.0,987,2,mjcf,7144,668
chain,chain_2,2,1,2.0,987,2,dot,1493,257
chain,chain_2,2,1,2.0,987,2,mermaid,2565,346
chain,chain_2,2,1,2.0,987,3,compile,261373,0
chain,chain_2,2,1,2.0,987,3,urdf,16942,1194
chain,chain_2,2,1,2.0,987,3,sdf,12794,1778
chain,chain_2,2,1,2.0,987,3,gazebo,70724,3002
chain,chain_2,2,1,2.0,987,3,mjcf,6953,668
chain,chain_2,2,1,2.0,987,3,dot,1654,257
chain,chain_2,2,1,2.0,987,3,mermaid,2435,346
chain,chain_2,2,1,2.0,987,4,compile,262555,0
chain,chain_2,2,1,2.0,987,4,urdf,16632,1194
chain,chain_2,2,1,2.0,987,4,sdf,11211,1778
chain,chain_2,2,1,2.0,987,4,gazebo,70894,3002
chain,chain_2,2,1,2.0,987,4,mjcf,6963,668
chain,chain_2,2,1,2.0,987,4,dot,1522,257
chain,chain_2,2,1,2.0,987,4,mermaid,2415,346
chain,chain_2,2,1,2.0,987,5,compile,272674,0
chain,chain_2,2,1,2.0,987,5,urdf,16792,1194
chain,chain_2,2,1,2.0,987,5,sdf,11301,1778
chain,chain_2,2,1,2.0,987,5,gazebo,71625,3002
chain,chain_2,2,1,2.0,987,5,mjcf,6893,668
chain,chain_2,2,1,2.0,987,5,dot,1432,257
chain,chain_2,2,1,2.0,987,5,mermaid,2505,346
chain,chain_2,2,1,2.0,987,6,compile,257385,0
chain,chain_2,2,1,2.0,987,6,urdf,16341,1194
chain,chain_2,2,1,2.0,987,6,sdf,11251,1778
chain,chain_2,2,1,2.0,987,6,gazebo,74951,3002
chain,chain_2,2,1,2.0,987,6,mjcf,6783,668
chain,chain_2,2,1,2.0,987,6,dot,1563,257
chain,chain_2,2,1,2.0,987,6,mermaid,2515,346
chain,chain_2,2,1,2.0,987,7,compile,264989,0
chain,chain_2,2,1,2.0,987,7,urdf,16812,1194
chain,chain_2,2,1,2.0,987,7,sdf,17062,1778
chain,chain_2,2,1,2.0,987,7,gazebo,75252,3002
chain,chain_2,2,1,2.0,987,7,mjcf,5350,668
chain,chain_2,2,1,2.0,987,7,dot,1443,257
chain,chain_2,2,1,2.0,987,7,mermaid,2484,346
chain,chain_2,2,1,2.0,987,8,compile,259179,0
chain,chain_2,2,1,2.0,987,8,urdf,16381,1194
chain,chain_2,2,1,2.0,987,8,sdf,11271,1778
chain,chain_2,2,1,2.0,987,8,gazebo,72326,3002
chain,chain_2,2,1,2.0,987,8,mjcf,5290,668
chain,chain_2,2,1,2.0,987,8,dot,1453,257
chain,chain_2,2,1,2.0,987,8,mermaid,2394,346
chain,chain_2,2,1,2.0,987,9,compile,258047,0
chain,chain_2,2,1,2.0,987,9,urdf,16522,1194
chain,chain_2,2,1,2.0,987,9,sdf,11201,1778
chain,chain_2,2,1,2.0,987,9,gazebo,71285,3002
chain,chain_2,2,1,2.0,987,9,mjcf,5370,668
chain,chain_2,2,1,2.0,987,9,dot,1483,257
chain,chain_2,2,1,2.0,987,9,mermaid,2454,346
chain,chain_5,5,4,2.0,2457,0,compile,330082,0
chain,chain_5,5,4,2.0,2457,0,urdf,28454,3210
chain,chain_5,5,4,2.0,2457,0,sdf,21391,4661
chain,chain_5,5,4,2.0,2457,0,gazebo,90330,5837
chain,chain_5,5,4,2.0,2457,0,mjcf,12914,1547
chain,chain_5,5,4,2.0,2457,0,dot,2916,482
chain,chain_5,5,4,2.0,2457,0,mermaid,3998,553
chain,chain_5,5,4,2.0,2457,1,compile,340532,0
chain,chain_5,5,4,2.0,2457,1,urdf,28724,3210
chain,chain_5,5,4,2.0,2457,1,sdf,20909,4661
chain,chain_5,5,4,2.0,2457,1,gazebo,87315,5837
chain,chain_5,5,4,2.0,2457,1,mjcf,12504,1547
chain,chain_5,5,4,2.0,2457,1,dot,2815,482
chain,chain_5,5,4,2.0,2457,1,mermaid,3807,553
chain,chain_5,5,4,2.0,2457,2,compile,331345,0
chain,chain_5,5,4,2.0,2457,2,urdf,28775,3210
chain,chain_5,5,4,2.0,2457,2,sdf,21040,4661
chain,chain_5,5,4,2.0,2457,2,gazebo,86964,5837
chain,chain_5,5,4,2.0,2457,2,mjcf,11843,1547
chain,chain_5,5,4,2.0,2457,2,dot,2655,482
chain,chain_5,5,4,2.0,2457,2,mermaid,3737,553
chain,chain_5,5,4,2.0,2457,3,compile,340041,0
chain,chain_5,5,4,2.0,2457,3,urdf,28694,3210
chain,chain_5,5,4,2.0,2457,3,sdf,20820,4661
chain,chain_5,5,4,2.0,2457,3,gazebo,90852,5837
chain,chain_5,5,4,2.0,2457,3,mjcf,12003,1547
chain,chain_5,5,4,2.0,2457,3,dot,2655,482
chain,chain_5,5,4,2.0,2457,3,mermaid,3797,553
chain,chain_5,5,4,2.0,2457,4,compile,331696,0
chain,chain_5,5,4,2.0,2457,4,urdf,28664,3210
chain,chain_5,5,4,2.0,2457,4,sdf,20829,4661
chain,chain_5,5,4,2.0,2457,4,gazebo,86763,5837
chain,chain_5,5,4,2.0,2457,4,mjcf,11842,1547
chain,chain_5,5,4,2.0,2457,4,dot,2625,482
chain,chain_5,5,4,2.0,2457,4,mermaid,3737,553
chain,chain_5,5,4,2.0,2457,5,compile,336866,0
chain,chain_5,5,4,2.0,2457,5,urdf,28694,3210
chain,chain_5,5,4,2.0,2457,5,sdf,20869,4661
chain,chain_5,5,4,2.0,2457,5,gazebo,90260,5837
chain,chain_5,5,4,2.0,2457,5,mjcf,12062,1547
chain,chain_5,5,4,2.0,2457,5,dot,2705,482
chain,chain_5,5,4,2.0,2457,5,mermaid,3747,553
chain,chain_5,5,4,2.0,2457,6,compile,334911,0
chain,chain_5,5,4,2.0,2457,6,urdf,28754,3210
chain,chain_5,5,4,2.0,2457,6,sdf,22712,4661
chain,chain_5,5,4,2.0,2457,6,gazebo,86634,5837
chain,chain_5,5,4,2.0,2457,6,mjcf,11993,1547
chain,chain_5,5,4,2.0,2457,6,dot,2675,482
chain,chain_5,5,4,2.0,2457,6,mermaid,3767,553
chain,chain_5,5,4,2.0,2457,7,compile,338729,0
chain,chain_5,5,4,2.0,2457,7,urdf,28644,3210
chain,chain_5,5,4,2.0,2457,7,sdf,20879,4661
chain,chain_5,5,4,2.0,2457,7,gazebo,86183,5837
chain,chain_5,5,4,2.0,2457,7,mjcf,11842,1547
chain,chain_5,5,4,2.0,2457,7,dot,2625,482
chain,chain_5,5,4,2.0,2457,7,mermaid,3717,553
chain,chain_5,5,4,2.0,2457,8,compile,332136,0
chain,chain_5,5,4,2.0,2457,8,urdf,28313,3210
chain,chain_5,5,4,2.0,2457,8,sdf,20900,4661
chain,chain_5,5,4,2.0,2457,8,gazebo,86303,5837
chain,chain_5,5,4,2.0,2457,8,mjcf,11853,1547
chain,chain_5,5,4,2.0,2457,8,dot,8617,482
chain,chain_5,5,4,2.0,2457,8,mermaid,3858,553
chain,chain_5,5,4,2.0,2457,9,compile,328509,0
chain,chain_5,5,4,2.0,2457,9,urdf,28304,3210
chain,chain_5,5,4,2.0,2457,9,sdf,20479,4661
chain,chain_5,5,4,2.0,2457,9,gazebo,85862,5837
chain,chain_5,5,4,2.0,2457,9,mjcf,11872,1547
chain,chain_5,5,4,2.0,2457,9,dot,2575,482
chain,chain_5,5,4,2.0,2457,9,mermaid,3757,553
chain,chain_10,10,9,2.0,4915,0,compile,459927,0
chain,chain_10,10,9,2.0,4915,0,urdf,51457,6582
chain,chain_10,10,9,2.0,4915,0,sdf,38913,9497
chain,chain_10,10,9,2.0,4915,0,gazebo,116510,10567
chain,chain_10,10,9,2.0,4915,0,mjcf,19758,3243
chain,chain_10,10,9,2.0,4915,0,dot,4889,858
chain,chain_10,10,9,2.0,4915,0,mermaid,7854,899
chain,chain_10,10,9,2.0,4915,1,compile,452092,0
chain,chain_10,10,9,2.0,4915,1,urdf,50405,6582
chain,chain_10,10,9,2.0,4915,1,sdf,38433,9497
chain,chain_10,10,9,2.0,4915,1,gazebo,113003,10567
chain,chain_10,10,9,2.0,4915,1,mjcf,19357,3243
chain,chain_10,10,9,2.0,4915,1,dot,4649,858
chain,chain_10,10,9,2.0,4915,1,mermaid,7594,899
chain,chain_10,10,9,2.0,4915,2,compile,451702,0
chain,chain_10,10,9,2.0,4915,2,urdf,51157,6582
chain,chain_10,10,9,2.0,4915,2,sdf,38313,9497
chain,chain_10,10,9,2.0,4915,2,gazebo,112743,10567
chain,chain_10,10,9,2.0,4915,2,mjcf,19317,3243
chain,chain_10,10,9,2.0,4915,2,dot,4789,858
chain,chain_10,10,9,2.0,4915,2,mermaid,7494,899
chain,chain_10,10,9,2.0,4915,3,compile,459416,0
chain,chain_10,10,9,2.0,4915,3,urdf,50775,6582
chain,chain_10,10,9,2.0,4915,3,sdf,38763,9497
chain,chain_10,10,9,2.0,4915,3,gazebo,112703,10567
chain,chain_10,10,9,2.0,4915,3,mjcf,18655,3243
chain,chain_10,10,9,2.0,4915,3,dot,4719,858
chain,chain_10,10,9,2.0,4915,3,mermaid,7494,899
chain,chain_10,10,9,2.0,4915,4,compile,451422,0
chain,chain_10,10,9,2.0,4915,4,urdf,56607,6582
chain,chain_10,10,9,2.0,4915,4,sdf,38342,9497
chain,chain_10,10,9,2.0,4915,4,gazebo,112802,10567
chain,chain_10,10,9,2.0,4915,4,mjcf,18945,3243
chain,chain_10,10,9,2.0,4915,4,dot,4729,858
chain,chain_10,10,9,2.0,4915,4,mermaid,7494,899
chain,chain_10,10,9,2.0,4915,5,compile,449337,0
chain,chain_10,10,9,2.0,4915,5,urdf,50816,6582
chain,chain_10,10,9,2.0,4915,5,sdf,38142,9497
chain,chain_10,10,9,2.0,4915,5,gazebo,112342,10567
chain,chain_10,10,9,2.0,4915,5,mjcf,19097,3243
chain,chain_10,10,9,2.0,4915,5,dot,4699,858
chain,chain_10,10,9,2.0,4915,5,mermaid,7504,899
chain,chain_10,10,9,2.0,4915,6,compile,461691,0
chain,chain_10,10,9,2.0,4915,6,urdf,50345,6582
chain,chain_10,10,9,2.0,4915,6,sdf,38172,9497
chain,chain_10,10,9,2.0,4915,6,gazebo,112302,10567
chain,chain_10,10,9,2.0,4915,6,mjcf,19276,3243
chain,chain_10,10,9,2.0,4915,6,dot,4679,858
chain,chain_10,10,9,2.0,4915,6,mermaid,7474,899
chain,chain_10,10,9,2.0,4915,7,compile,462212,0
chain,chain_10,10,9,2.0,4915,7,urdf,50936,6582
chain,chain_10,10,9,2.0,4915,7,sdf,38232,9497
chain,chain_10,10,9,2.0,4915,7,gazebo,112202,10567
chain,chain_10,10,9,2.0,4915,7,mjcf,19146,3243
chain,chain_10,10,9,2.0,4915,7,dot,4629,858
chain,chain_10,10,9,2.0,4915,7,mermaid,7354,899
chain,chain_10,10,9,2.0,4915,8,compile,450329,0
chain,chain_10,10,9,2.0,4915,8,urdf,50806,6582
chain,chain_10,10,9,2.0,4915,8,sdf,38553,9497
chain,chain_10,10,9,2.0,4915,8,gazebo,120197,10567
chain,chain_10,10,9,2.0,4915,8,mjcf,19107,3243
chain,chain_10,10,9,2.0,4915,8,dot,4779,858
chain,chain_10,10,9,2.0,4915,8,mermaid,7424,899
chain,chain_10,10,9,2.0,4915,9,compile,450549,0
chain,chain_10,10,9,2.0,4915,9,urdf,51216,6582
chain,chain_10,10,9,2.0,4915,9,sdf,38422,9497
chain,chain_10,10,9,2.0,4915,9,gazebo,111991,10567
chain,chain_10,10,9,2.0,4915,9,mjcf,19116,3243
chain,chain_10,10,9,2.0,4915,9,dot,4639,858
chain,chain_10,10,9,2.0,4915,9,mermaid,7404,899
chain,chain_20,20,19,2.0,9856,0,compile,690021,0
chain,chain_20,20,19,2.0,9856,0,urdf,90941,13340
chain,chain_20,20,19,2.0,9856,0,sdf,71815,19336
chain,chain_20,20,19,2.0,9856,0,gazebo,172636,20085
chain,chain_20,20,19,2.0,9856,0,mjcf,40346,7522
chain,chain_20,20,19,2.0,9856,0,dot,8536,1656
chain,chain_20,20,19,2.0,9856,0,mermaid,13475,1637
chain,chain_20,20,19,2.0,9856,1,compile,694370,0
chain,chain_20,20,19,2.0,9856,1,urdf,98937,13340
chain,chain_20,20,19,2.0,9856,1,sdf,71414,19336
chain,chain_20,20,19,2.0,9856,1,gazebo,163278,20085
chain,chain_20,20,19,2.0,9856,1,mjcf,39705,7522
chain,chain_20,20,19,2.0,9856,1,dot,8496,1656
chain,chain_20,20,19,2.0,9856,1,mermaid,13155,1637
chain,chain_20,20,19,2.0,9856,2,compile,699219,0
chain,chain_20,20,19,2.0,9856,2,urdf,91292,13340
chain,chain_20,20,19,2.0,9856,2,sdf,70834,19336
chain,chain_20,20,19,2.0,9856,2,gazebo,163579,20085
chain,chain_20,20,19,2.0,9856,2,mjcf,39555,7522
chain,chain_20,20,19,2.0,9856,2,dot,8486,1656
chain,chain_20,20,19,2.0,9856,2,mermaid,13245,1637
chain,chain_20,20,19,2.0,9856,3,compile,703066,0
chain,chain_20,20,19,2.0,9856,3,urdf,89979,13340
chain,chain_20,20,19,2.0,9856,3,sdf,70824,19336
chain,chain_20,20,19,2.0,9856,3,gazebo,161494,20085
chain,chain_20,20,19,2.0,9856,3,mjcf,39494,7522
chain,chain_20,20,19,2.0,9856,3,dot,8306,1656
chain,chain_20,20,19,2.0,9856,3,mermaid,13124,1637
chain,chain_20,20,19,2.0,9856,4,compile,688268,0
chain,chain_20,20,19,2.0,9856,4,urdf,88687,13340
chain,chain_20,20,19,2.0,9856,4,sdf,71084,19336
chain,chain_20,20,19,2.0,9856,4,gazebo,161033,20085
chain,chain_20,20,19,2.0,9856,4,mjcf,39484,7522
chain,chain_20,20,19,2.0,9856,4,dot,8757,1656
chain,chain_20,20,19,2.0,9856,4,mermaid,13074,1637
chain,chain_20,20,19,2.0,9856,5,compile,698798,0
chain,chain_20,20,19,2.0,9856,5,urdf,89779,13340
chain,chain_20,20,19,2.0,9856,5,sdf,72387,19336
chain,chain_20,20,19,2.0,9856,5,gazebo,161384,20085
chain,chain_20,20,19,2.0,9856,5,mjcf,39013,7522
chain,chain_20,20,19,2.0,9856,5,dot,8256,1656
