tool,family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
competitor,tree,tree_100_k3,100,99,2.0,54666,1,gz_sdf,399420173,139854
competitor,tree,tree_100_k3,100,99,2.0,54666,1,mujoco_mjcf,186854263,30069
competitor,tree,tree_100_k3,100,99,2.0,54666,1,bundle_3fmt,673098595,0
competitor,tree,tree_100_k3,100,99,2.0,54666,2,xacro_urdf,99171134,62613
competitor,tree,tree_100_k3,100,99,2.0,54666,2,gz_sdf,383039458,139854
competitor,tree,tree_100_k3,100,99,2.0,54666,2,mujoco_mjcf,183917286,30069
competitor,tree,tree_100_k3,100,99,2.0,54666,2,bundle_3fmt,718082605,0
competitor,tree,tree_100_k3,100,99,2.0,54666,3,xacro_urdf,104601460,62613
competitor,tree,tree_100_k3,100,99,2.0,54666,3,gz_sdf,389284161,139854
competitor,tree,tree_100_k3,100,99,2.0,54666,3,mujoco_mjcf,223649091,30069
competitor,tree,tree_100_k3,100,99,2.0,54666,3,bundle_3fmt,661058746,0
competitor,tree,tree_100_k3,100,99,2.0,54666,4,xacro_urdf,93177796,62613
competitor,tree,tree_100_k3,100,99,2.0,54666,4,gz_sdf,393532391,139854
competitor,tree,tree_100_k3,100,99,2.0,54666,4,mujoco_mjcf,191353352,30069
competitor,tree,tree_100_k3,100,99,2.0,54666,4,bundle_3fmt,676992158,0
competitor,chain,chain_200,200,199,2.0,113981,0,xacro_urdf,125680878,129425
competitor,chain,chain_200,200,199,2.0,113981,0,gz_sdf,688331466,290861
competitor,chain,chain_200,200,199,2.0,113981,0,mujoco_mjcf,262154685,250038
competitor,chain,chain_200,200,199,2.0,113981,0,bundle_3fmt,1124834497,0
competitor,chain,chain_200,200,199,2.0,113981,1,xacro_urdf,126349680,129425
competitor,chain,chain_200,200,199,2.0,113981,1,gz_sdf,708882763,290861
competitor,chain,chain_200,200,199,2.0,113981,1,mujoco_mjcf,261573479,250038
competitor,chain,chain_200,200,199,2.0,113981,1,bundle_3fmt,1102415717,0
competitor,chain,chain_200,200,199,2.0,113981,2,xacro_urdf,127570035,129425
competitor,chain,chain_200,200,199,2.0,113981,2,gz_sdf,696223667,290861
competitor,chain,chain_200,200,199,2.0,113981,2,mujoco_mjcf,280488591,250038
competitor,chain,chain_200,200,199,2.0,113981,2,bundle_3fmt,1159060774,0
competitor,chain,chain_200,200,199,2.0,113981,3,xacro_urdf,125860199,129425
competitor,chain,chain_200,200,199,2.0,113981,3,gz_sdf,710053079,290861
competitor,chain,chain_200,200,199,2.0,113981,3,mujoco_mjcf,275463643,250038
competitor,chain,chain_200,200,199,2.0,113981,3,bundle_3fmt,1088005383,0
competitor,chain,chain_200,200,199,2.0,113981,4,xacro_urdf,130008861,129425
competitor,chain,chain_200,200,199,2.0,113981,4,gz_sdf,721702259,290861
competitor,chain,chain_200,200,199,2.0,113981,4,mujoco_mjcf,269719003,250038
competitor,chain,chain_200,200,199,2.0,113981,4,bundle_3fmt,1114312611,0
competitor,tree,tree_200_k3,200,199,2.0,109908,0,xacro_urdf,123771181,125355
competitor,tree,tree_200_k3,200,199,2.0,109908,0,gz_sdf,681043715,281113
competitor,tree,tree_200_k3,200,199,2.0,109908,0,mujoco_mjcf,261851646,62260
competitor,tree,tree_200_k3,200,199,2.0,109908,0,bundle_3fmt,1094876340,0
competitor,tree,tree_200_k3,200,199,2.0,109908,1,xacro_urdf,126678385,125355
competitor,tree,tree_200_k3,200,199,2.0,109908,1,gz_sdf,689034137,281113
competitor,tree,tree_200_k3,200,199,2.0,109908,1,mujoco_mjcf,217486571,62260
competitor,tree,tree_200_k3,200,199,2.0,109908,1,bundle_3fmt,1031331820,0
competitor,tree,tree_200_k3,200,199,2.0,109908,2,xacro_urdf,127860017,125355
competitor,tree,tree_200_k3,200,199,2.0,109908,2,gz_sdf,669961568,281113
competitor,tree,tree_200_k3,200,199,2.0,109908,2,mujoco_mjcf,246695146,62260
competitor,tree,tree_200_k3,200,199,2.0,109908,2,bundle_3fmt,1049553873,0
competitor,tree,tree_200_k3,200,199,2.0,109908,3,xacro_urdf,145102006,125355
competitor,tree,tree_200_k3,200,199,2.0,109908,3,gz_sdf,679099460,281113
competitor,tree,tree_200_k3,200,199,2.0,109908,3,mujoco_mjcf,241380801,62260
competitor,tree,tree_200_k3,200,199,2.0,109908,3,bundle_3fmt,1010340713,0
competitor,tree,tree_200_k3,200,199,2.0,109908,4,xacro_urdf,120420695,125355
competitor,tree,tree_200_k3,200,199,2.0,109908,4,gz_sdf,679145231,281113
competitor,tree,tree_200_k3,200,199,2.0,109908,4,mujoco_mjcf,222526196,62260
competitor,tree,tree_200_k3,200,199,2.0,109908,4,bundle_3fmt,1031078973,0
competitor,chain,chain_500,500,499,2.0,285881,0,xacro_urdf,224238611,323825
competitor,chain,chain_500,500,499,2.0,285881,0,gz_sdf,1867357298,728977
competitor,chain,chain_500,500,499,2.0,285881,0,mujoco_mjcf,2146150940,1375604
competitor,chain,chain_500,500,499,2.0,285881,0,bundle_3fmt,4450380370,0
competitor,chain,chain_500,500,499,2.0,285881,1,xacro_urdf,232216585,323825
competitor,chain,chain_500,500,499,2.0,285881,1,gz_sdf,1821324766,728977
competitor,chain,chain_500,500,499,2.0,285881,1,mujoco_mjcf,2159408512,1375604
competitor,chain,chain_500,500,499,2.0,285881,1,bundle_3fmt,4163501434,0
competitor,chain,chain_500,500,499,2.0,285881,2,xacro_urdf,216724385,323825
competitor,chain,chain_500,500,499,2.0,285881,2,gz_sdf,1806052287,728977
competitor,chain,chain_500,500,499,2.0,285881,2,mujoco_mjcf,2111170170,1375604
competitor,chain,chain_500,500,499,2.0,285881,2,bundle_3fmt,4214438376,0
competitor,chain,chain_500,500,499,2.0,285881,3,xacro_urdf,218668922,323825
competitor,chain,chain_500,500,499,2.0,285881,3,gz_sdf,1818979842,728977
competitor,chain,chain_500,500,499,2.0,285881,3,mujoco_mjcf,2113167818,1375604
competitor,chain,chain_500,500,499,2.0,285881,3,bundle_3fmt,4166871831,0
competitor,chain,chain_500,500,499,2.0,285881,4,xacro_urdf,216908627,323825
competitor,chain,chain_500,500,499,2.0,285881,4,gz_sdf,1812938941,728977
competitor,chain,chain_500,500,499,2.0,285881,4,mujoco_mjcf,2159903712,1375604
competitor,chain,chain_500,500,499,2.0,285881,4,bundle_3fmt,4206315400,0
competitor,tree,tree_500_k3,500,499,2.0,275748,0,xacro_urdf,214335560,313695
competitor,tree,tree_500_k3,500,499,2.0,275748,0,gz_sdf,1542271455,704709
competitor,tree,tree_500_k3,500,499,2.0,275748,0,mujoco_mjcf,347140506,164256
competitor,tree,tree_500_k3,500,499,2.0,275748,0,bundle_3fmt,2113826671,0
competitor,tree,tree_500_k3,500,499,2.0,275748,1,xacro_urdf,229907567,313695
competitor,tree,tree_500_k3,500,499,2.0,275748,1,gz_sdf,1516156359,704709
competitor,tree,tree_500_k3,500,499,2.0,275748,1,mujoco_mjcf,375430466,164256
competitor,tree,tree_500_k3,500,499,2.0,275748,1,bundle_3fmt,2103039965,0
competitor,tree,tree_500_k3,500,499,2.0,275748,2,xacro_urdf,216532426,313695
competitor,tree,tree_500_k3,500,499,2.0,275748,2,gz_sdf,1534423435,704709
competitor,tree,tree_500_k3,500,499,2.0,275748,2,mujoco_mjcf,350484979,164256
competitor,tree,tree_500_k3,500,499,2.0,275748,2,bundle_3fmt,2101109892,0
competitor,tree,tree_500_k3,500,499,2.0,275748,3,xacro_urdf,213974202,313695
competitor,tree,tree_500_k3,500,499,2.0,275748,3,gz_sdf,1531903820,704709
competitor,tree,tree_500_k3,500,499,2.0,275748,3,mujoco_mjcf,351629189,164256
competitor,tree,tree_500_k3,500,499,2.0,275748,3,bundle_3fmt,2082890973,0
competitor,tree,tree_500_k3,500,499,2.0,275748,4,xacro_urdf,210567824,313695
competitor,tree,tree_500_k3,500,499,2.0,275748,4,gz_sdf,1536464250,704709
competitor,tree,tree_500_k3,500,499,2.0,275748,4,mujoco_mjcf,354194134,164256
competitor,tree,tree_500_k3,500,499,2.0,275748,4,bundle_3fmt,2084033970,0
competitor,chain,chain_1000,1000,999,2.0,572382,0,xacro_urdf,380049283,647828
competitor,chain,chain_1000,1000,999,2.0,572382,0,gz_sdf,4214906051,1459318
competitor,chain,chain_1000,1000,999,2.0,572382,0,mujoco_mjcf,12262124638,5251559
competitor,chain,chain_1000,1000,999,2.0,572382,0,bundle_3fmt,16789830231,0
competitor,chain,chain_1000,1000,999,2.0,572382,1,xacro_urdf,388251153,647828
competitor,chain,chain_1000,1000,999,2.0,572382,1,gz_sdf,4106373141,1459318
competitor,chain,chain_1000,1000,999,2.0,572382,1,mujoco_mjcf,12253723953,5251559
competitor,chain,chain_1000,1000,999,2.0,572382,1,bundle_3fmt,16725020316,0
competitor,chain,chain_1000,1000,999,2.0,572382,2,xacro_urdf,384933907,647828
competitor,chain,chain_1000,1000,999,2.0,572382,2,gz_sdf,4118317108,1459318
competitor,chain,chain_1000,1000,999,2.0,572382,2,mujoco_mjcf,12178202527,5251559
competitor,chain,chain_1000,1000,999,2.0,572382,2,bundle_3fmt,16961615660,0
competitor,chain,chain_1000,1000,999,2.0,572382,3,xacro_urdf,392334910,647828
competitor,chain,chain_1000,1000,999,2.0,572382,3,gz_sdf,4104824231,1459318
competitor,chain,chain_1000,1000,999,2.0,572382,3,mujoco_mjcf,12226089749,5251559
competitor,chain,chain_1000,1000,999,2.0,572382,3,bundle_3fmt,16753299647,0
competitor,chain,chain_1000,1000,999,2.0,572382,4,xacro_urdf,385956007,647828
competitor,chain,chain_1000,1000,999,2.0,572382,4,gz_sdf,4157074734,1459318
competitor,chain,chain_1000,1000,999,2.0,572382,4,mujoco_mjcf,12339929736,5251559
competitor,chain,chain_1000,1000,999,2.0,572382,4,bundle_3fmt,16869050980,0
competitor,tree,tree_1000_k3,1000,999,2.0,552210,0,xacro_urdf,362856372,627659
competitor,tree,tree_1000_k3,1000,999,2.0,552210,0,gz_sdf,2959457154,1410972
competitor,tree,tree_1000_k3,1000,999,2.0,552210,0,mujoco_mjcf,910402845,349661
competitor,tree,tree_1000_k3,1000,999,2.0,552210,0,bundle_3fmt,4119266417,0
competitor,tree,tree_1000_k3,1000,999,2.0,552210,1,xacro_urdf,358784383,627659
competitor,tree,tree_1000_k3,1000,999,2.0,552210,1,gz_sdf,2924902076,1410972
competitor,tree,tree_1000_k3,1000,999,2.0,552210,1,mujoco_mjcf,912719512,349661
competitor,tree,tree_1000_k3,1000,999,2.0,552210,1,bundle_3fmt,4136642476,0
competitor,tree,tree_1000_k3,1000,999,2.0,552210,2,xacro_urdf,355088082,627659
competitor,tree,tree_1000_k3,1000,999,2.0,552210,2,gz_sdf,2886272933,1410972
competitor,tree,tree_1000_k3,1000,999,2.0,552210,2,mujoco_mjcf,883127941,349661
competitor,tree,tree_1000_k3,1000,999,2.0,552210,2,bundle_3fmt,4140522310,0
competitor,tree,tree_1000_k3,1000,999,2.0,552210,3,xacro_urdf,358769908,627659
competitor,tree,tree_1000_k3,1000,999,2.0,552210,3,gz_sdf,2894373905,1410972
competitor,tree,tree_1000_k3,1000,999,2.0,552210,3,mujoco_mjcf,876374813,349661
competitor,tree,tree_1000_k3,1000,999,2.0,552210,3,bundle_3fmt,4121767234,0
competitor,tree,tree_1000_k3,1000,999,2.0,552210,4,xacro_urdf,350525781,627659
competitor,tree,tree_1000_k3,1000,999,2.0,552210,4,gz_sdf,2923479793,1410972
competitor,tree,tree_1000_k3,1000,999,2.0,552210,4,mujoco_mjcf,895014819,349661
competitor,tree,tree_1000_k3,1000,999,2.0,552210,4,bundle_3fmt,4183186059,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,0,xacro_urdf,732698722,1299826
competitor,chain,chain_2000,2000,1999,2.0,1149380,0,gz_sdf,10600201133,2928110
competitor,chain,chain_2000,2000,1999,2.0,1149380,0,mujoco_mjcf,1527134600,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,0,bundle_3fmt,12936800466,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,1,xacro_urdf,719809028,1299826
competitor,chain,chain_2000,2000,1999,2.0,1149380,1,gz_sdf,10838087868,2928110
competitor,chain,chain_2000,2000,1999,2.0,1149380,1,mujoco_mjcf,1509578483,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,1,bundle_3fmt,12923859283,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,2,xacro_urdf,722018950,1299826
competitor,chain,chain_2000,2000,1999,2.0,1149380,2,gz_sdf,10784600160,2928110
competitor,chain,chain_2000,2000,1999,2.0,1149380,2,mujoco_mjcf,1487602248,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,2,bundle_3fmt,12896056893,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,3,xacro_urdf,717023914,1299826
competitor,chain,chain_2000,2000,1999,2.0,1149380,3,gz_sdf,10671407716,2928110
competitor,chain,chain_2000,2000,1999,2.0,1149380,3,mujoco_mjcf,1528380308,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,3,bundle_3fmt,13165202758,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,4,xacro_urdf,708326595,1299826
competitor,chain,chain_2000,2000,1999,2.0,1149380,4,gz_sdf,10744434342,2928110
competitor,chain,chain_2000,2000,1999,2.0,1149380,4,mujoco_mjcf,1554722565,0
competitor,chain,chain_2000,2000,1999,2.0,1149380,4,bundle_3fmt,13198629526,0
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,0,xacro_urdf,696121300,1259020
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,0,gz_sdf,5623411660,2830490
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,0,mujoco_mjcf,3277565596,688830
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,0,bundle_3fmt,9604443721,0
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,1,xacro_urdf,713977567,1259020
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,1,gz_sdf,5532508547,2830490
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,1,mujoco_mjcf,3337214344,688830
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,1,bundle_3fmt,9778929435,0
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,2,xacro_urdf,711769622,1259020
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,2,gz_sdf,5679085243,2830490
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,2,mujoco_mjcf,3293236614,688830
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,2,bundle_3fmt,9582543174,0
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,3,xacro_urdf,690137009,1259020
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,3,gz_sdf,5623270195,2830490
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,3,mujoco_mjcf,3354121163,688830
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,3,bundle_3fmt,9634708645,0
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,4,xacro_urdf,706034179,1259020
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,4,gz_sdf,5521800280,2830490
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,4,mujoco_mjcf,3298760388,688830
competitor,tree,tree_2000_k3,2000,1999,2.0,1108571,4,bundle_3fmt,9741259625,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,0,xacro_urdf,1844224551,3255826
competitor,chain,chain_5000,5000,4999,2.0,2880380,0,gz_sdf,52628575447,7335337
competitor,chain,chain_5000,5000,4999,2.0,2880380,0,mujoco_mjcf,1614782741,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,0,bundle_3fmt,55992918966,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,1,xacro_urdf,1813796086,3255826
competitor,chain,chain_5000,5000,4999,2.0,2880380,1,gz_sdf,52576342833,7335337
competitor,chain,chain_5000,5000,4999,2.0,2880380,1,mujoco_mjcf,1694063180,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,1,bundle_3fmt,56353024132,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,2,xacro_urdf,1870193444,3255826
competitor,chain,chain_5000,5000,4999,2.0,2880380,2,gz_sdf,51423420277,7335337
competitor,chain,chain_5000,5000,4999,2.0,2880380,2,mujoco_mjcf,1614831605,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,2,bundle_3fmt,55241712187,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,3,xacro_urdf,1838850915,3255826
competitor,chain,chain_5000,5000,4999,2.0,2880380,3,gz_sdf,53237639440,7335337
competitor,chain,chain_5000,5000,4999,2.0,2880380,3,mujoco_mjcf,1716960163,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,3,bundle_3fmt,55694274825,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,4,xacro_urdf,1849932110,3255826
competitor,chain,chain_5000,5000,4999,2.0,2880380,4,gz_sdf,52532716921,7335337
competitor,chain,chain_5000,5000,4999,2.0,2880380,4,mujoco_mjcf,1629564916,0
competitor,chain,chain_5000,5000,4999,2.0,2880380,4,bundle_3fmt,56368040206,0
competitor,tree,tree_5000_k3,5000,4999,2.0,2778941,0,xacro_urdf,1804817347,3154390
competitor,tree,tree_5000_k3,5000,4999,2.0,2778941,0,gz_sdf,14125116960,7092457
competitor,tree,tree_5000_k3,5000,4999,2.0,2778941,0,mujoco_mjcf,25434788731,1754758
competitor,tree,tree_5000_k3,5000,4999,2.0,2778941,0,bundle_3fmt,41508434497,0
